clave,configuracion,semilla,epocas,segundos,pr_auc,roc_auc,recall,precision,f2,alertas,tasa_de_alerta,umbral
B1,Supervisado desde cero,0,25,13.9,0.6901206681978435,0.9729233438867568,0.589041095890411,0.7510917030567685,0.6156048675733715,229,0.010728005246884663,0.5772317051887512
B1,Supervisado desde cero,1,25,13.7,0.700375603093423,0.9730108553218013,0.5821917808219178,0.7623318385650224,0.6110711718188354,223,0.010446922139979387,0.2332916110754013
B1,Supervisado desde cero,2,21,11.5,0.6979480849435629,0.9728255848301367,0.5993150684931506,0.7142857142857143,0.6192498230714791,245,0.011477560198632062,0.29488810896873474
B2,Codificador congelado,0,25,9.7,0.40701136680793015,0.8764616686901652,0.3561643835616438,0.5174129353233831,0.3798392987582176,201,0.009416284081326711,0.16462993621826172
B2,Codificador congelado,1,25,9.8,0.3994823216734492,0.8757212373661465,0.3321917808219178,0.46859903381642515,0.3527272727272727,207,0.009697367188231987,0.21137748658657074
B2,Codificador congelado,2,25,10.1,0.40410910854354587,0.8893273135876305,0.339041095890411,0.5,0.36237188872620796,198,0.009275742527874074,0.2321200668811798
B3,"Ajuste parcial, learning rate diferencial",0,25,13.6,0.5971680615254636,0.9616520987779631,0.5034246575342466,0.6869158878504673,0.5318379160636758,214,0.010025297479621475,0.6380152702331543
B4,Ajuste parcial mas fusion con etapa A,0,25,13.6,0.5967842244231303,0.961551411829464,0.5034246575342466,0.6743119266055045,0.5303030303030304,218,0.010212686217558324,0.9664792184679317
B3,"Ajuste parcial, learning rate diferencial",1,25,13.7,0.6110820486504255,0.9628233368598166,0.5171232876712328,0.7156398104265402,0.5474981870920957,211,0.009884755926168838,0.5011638402938843
B4,Ajuste parcial mas fusion con etapa A,1,25,13.7,0.6094506726386505,0.962753311445715,0.5102739726027398,0.7061611374407583,0.5402465554749818,211,0.009884755926168838,0.9601927401150624
B3,"Ajuste parcial, learning rate diferencial",2,25,13.7,0.6043327749696408,0.9641138052054014,0.5171232876712328,0.6622807017543859,0.5408309455587392,228,0.010681158062400449,0.38745197653770447
B4,Ajuste parcial mas fusion con etapa A,2,25,13.7,0.6028852560952074,0.9640370293739127,0.5273972602739726,0.6497890295358649,0.5480427046263345,237,0.011102782722758362,0.9567245191329364
B5,Ajuste parcial con entropia ponderada,0,25,13.2,0.554469096076946,0.9575655750184457,0.4863013698630137,0.5916666666666667,0.5042613636363636,240,0.011243324276211,3.4137816429138184
B5,Ajuste parcial con entropia ponderada,1,25,13.2,0.5621864429951049,0.9576846426215173,0.4863013698630137,0.5941422594142259,0.5046197583511016,239,0.011196477091726787,3.3471949100494385
B5,Ajuste parcial con entropia ponderada,2,25,13.1,0.5531952020865477,0.9604532897142508,0.4965753424657534,0.5967078189300411,0.5138199858256555,243,0.011383865829663636,3.4553568363189697
B6,Pesos de la etapa A con learning rate uniforme,0,25,13.5,0.6751953671902722,0.9706000616809223,0.5753424657534246,0.717948717948718,0.5991440798858774,234,0.010962241169305725,0.7790994644165039
B6,Pesos de la etapa A con learning rate uniforme,1,16,9.0,0.6829015795013962,0.97534910230835,0.5924657534246576,0.7688888888888888,0.6209619526202441,225,0.010540616508947812,0.4395058751106262
B6,Pesos de la etapa A con learning rate uniforme,2,12,6.3,0.6709151975475125,0.9745089599997919,0.5856164383561644,0.7095435684647303,0.6068133427963095,241,0.011290171460695213,0.32350170612335205
