fraccion,positivos,clave,configuracion,semilla,pr_auc,roc_auc,recall,precision,f2,alertas,tasa_de_alerta,umbral,epocas,segundos
0.1,136,B1,Supervisado desde cero,0,0.6034696935201843,0.9584685043417382,0.5308219178082192,0.6739130434782609,0.5543633762517882,230,0.010774852431368874,0.8051434755325317,,
0.1,136,B1,Supervisado desde cero,1,0.6003770213778038,0.9409812634439035,0.5,0.7336683417085427,0.5340160936356986,199,0.009322589712358288,1.0352314710617065,,
0.1,136,B3,"Ajuste parcial, learning rate diferencial",0,0.3178848862591701,0.8335076242304524,0.2773972602739726,0.4426229508196721,0.2997779422649889,183,0.008573034760610887,0.09417590498924255,,
0.1,136,B3,"Ajuste parcial, learning rate diferencial",1,0.3135061339064982,0.8413899158198553,0.2602739726027397,0.4222222222222222,0.2818991097922849,180,0.00843249320715825,0.3673499822616577,,
0.1,136,B6,Pesos de la etapa A con learning rate uniforme,0,0.528457155923966,0.9110288481933605,0.4657534246575342,0.6296296296296297,0.4913294797687861,216,0.0101189918485899,0.7423209547996521,,
0.1,136,B6,Pesos de la etapa A con learning rate uniforme,1,0.5169429120723747,0.9117294276556956,0.4554794520547945,0.6100917431192661,0.4797979797979798,218,0.010212686217558324,1.410321593284607,,
0.25,341,B1,Supervisado desde cero,0,0.628097780702554,0.9610429346065108,0.523972602739726,0.6986301369863014,0.55155010814708,219,0.010259533402042538,0.5704582929611206,,
0.25,341,B1,Supervisado desde cero,1,0.6334002839785569,0.9622163686072734,0.5308219178082192,0.7451923076923077,0.5632267441860465,208,0.0097442143727162,0.5075775980949402,,
0.25,341,B3,"Ajuste parcial, learning rate diferencial",0,0.4449292116163244,0.8987676503082093,0.3904109589041096,0.5089285714285714,0.4094827586206896,224,0.0104937693244636,0.43178868293762207,,
0.25,341,B3,"Ajuste parcial, learning rate diferencial",1,0.47714740363285646,0.9011636418290346,0.4075342465753425,0.5920398009950248,0.4346238130021914,201,0.009416284081326711,0.7016769051551819,,
0.25,341,B6,Pesos de la etapa A con learning rate uniforme,0,0.5950554918498696,0.9584413400115294,0.4965753424657534,0.7107843137254902,0.5284256559766763,204,0.00955682563477935,0.9080149531364441,,
0.25,341,B6,Pesos de la etapa A con learning rate uniforme,1,0.5885538937219609,0.9530852498012287,0.5102739726027398,0.6866359447004609,0.5379061371841155,217,0.010165839033074112,1.0980571508407593,,
0.5,682,B1,Supervisado desde cero,0,0.6598536254252362,0.9628635953731501,0.5684931506849316,0.7217391304347827,0.5937052932761088,230,0.010774852431368874,0.3900544047355652,,
0.5,682,B1,Supervisado desde cero,1,0.6486346968628842,0.967636872438908,0.5616438356164384,0.7354260089686099,0.5895039539899353,223,0.010446922139979387,0.2616202235221863,,
0.5,682,B3,"Ajuste parcial, learning rate diferencial",0,0.5545239089308929,0.9363785360800863,0.4828767123287671,0.5949367088607594,0.501779359430605,237,0.011102782722758362,0.5892047882080078,,
0.5,682,B3,"Ajuste parcial, learning rate diferencial",1,0.5435731164139668,0.9386860402019075,0.4554794520547945,0.588495575221239,0.4770444763271163,226,0.010587463693432025,0.438251793384552,,
0.5,682,B6,Pesos de la etapa A con learning rate uniforme,0,0.6280986666957916,0.9664761259696202,0.5376712328767124,0.7336448598130841,0.5680173661360347,214,0.010025297479621475,0.22910580039024353,,
0.5,682,B6,Pesos de la etapa A con learning rate uniforme,1,0.635365228426569,0.9669210028745392,0.5513698630136986,0.7219730941704036,0.5787203450754853,223,0.010446922139979387,0.0766083300113678,,
1.0,1363,B1,Supervisado desde cero,0,0.6901206681978435,0.9729233438867568,0.589041095890411,0.7510917030567685,0.6156048675733715,229,0.010728005246884663,0.5772317051887512,25.0,13.9
1.0,1363,B1,Supervisado desde cero,1,0.700375603093423,0.9730108553218013,0.5821917808219178,0.7623318385650224,0.6110711718188354,223,0.010446922139979387,0.2332916110754013,25.0,13.7
1.0,1363,B1,Supervisado desde cero,2,0.6979480849435629,0.9728255848301367,0.5993150684931506,0.7142857142857143,0.6192498230714791,245,0.011477560198632062,0.29488810896873474,21.0,11.5
1.0,1363,B3,"Ajuste parcial, learning rate diferencial",0,0.5971680615254636,0.9616520987779631,0.5034246575342466,0.6869158878504673,0.5318379160636758,214,0.010025297479621475,0.6380152702331543,25.0,13.6
1.0,1363,B3,"Ajuste parcial, learning rate diferencial",1,0.6110820486504255,0.9628233368598166,0.5171232876712328,0.7156398104265402,0.5474981870920957,211,0.009884755926168838,0.5011638402938843,25.0,13.7
1.0,1363,B3,"Ajuste parcial, learning rate diferencial",2,0.6043327749696408,0.9641138052054014,0.5171232876712328,0.6622807017543859,0.5408309455587392,228,0.010681158062400449,0.38745197653770447,25.0,13.7
1.0,1363,B6,Pesos de la etapa A con learning rate uniforme,0,0.6751953671902722,0.9706000616809223,0.5753424657534246,0.717948717948718,0.5991440798858774,234,0.010962241169305725,0.7790994644165039,25.0,13.5
1.0,1363,B6,Pesos de la etapa A con learning rate uniforme,1,0.6829015795013962,0.97534910230835,0.5924657534246576,0.7688888888888888,0.6209619526202441,225,0.010540616508947812,0.4395058751106262,16.0,9.0
1.0,1363,B6,Pesos de la etapa A con learning rate uniforme,2,0.6709151975475125,0.9745089599997919,0.5856164383561644,0.7095435684647303,0.6068133427963095,241,0.011290171460695213,0.32350170612335205,12.0,6.3
